PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
30502214,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.14285714285714285,2,0.0
30502148,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.08333333333333333,4,0.0
30495953,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.07692307692307693,2,0.0
30471723,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.09523809523809523,4,0.0
30445137,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1875,3,0.0
30409665,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.13559322033898305,8,0.0
30401538,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.13636363636363635,3,0.0
30393118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
30381210,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.08163265306122448,4,0.0
30375664,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.24,6,0.0
30373258,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,4,0.0
30372964,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.22727272727272727,10,0.0
30352980,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.1111111111111111,4,0.0
